Mbh,logLikelihood
6.990368742914985,-5.769294973934929
6.994376750922992,-5.773700277588482
6.9983847589309995,-5.778105595950754
7.002392766939007,-5.7825109292622985
7.006400774947021,-5.786916277767604
7.010408782955029,-5.791321641715155
7.014416790963036,-5.795727021357496
7.0184247989710435,-5.800132416951303
7.022432806979051,-5.804537828757452
7.026440814987058,-5.808943257041078
7.030448822995066,-5.813348702071655
7.034456831003073,-5.817754164123062
7.03846483901108,-5.822159643473652
7.042472847019088,-5.826565140406334
7.046480855027095,-5.83097065520864
7.050488863035103,-5.835376188172802
7.05449687104311,-5.839781739595829
7.058504879051117,-5.844187309779588
7.062512887059132,-5.848592899030877
7.066520895067139,-5.852998507661515
7.070528903075147,-5.857404135988414
7.074536911083154,-5.861809784333669
7.078544919091161,-5.866215453024639
7.082552927099169,-5.870621142394033
7.086560935107176,-5.875026852780004
7.0905689431151835,-5.879432584526228
7.094576951123191,-5.883838337981999
7.098584959131198,-5.8882441135023225
7.102592967139206,-5.8926499114480055
7.106600975147213,-5.897055732185755
7.11060898315522,-5.90146157608827
7.114616991163228,-5.905867443534341
7.118624999171235,-5.910273334908951
7.12263300717925,-5.914679250603378
7.126641015187257,-5.919085191015289
7.130649023195264,-5.923491156548858
7.134657031203272,-5.927897147614857
7.138665039211279,-5.9323031646307784
7.1426730472192865,-5.936709208020936
7.146681055227294,-5.941115278216578
7.150689063235301,-5.945521375656
7.154697071243309,-5.949927500784661
7.158705079251316,-5.954333654055301
7.162713087259323,-5.958739835928059
7.166721095267331,-5.963146046870591
7.170729103275345,-5.967552287358202
7.174737111283353,-5.971958557873953
7.17874511929136,-5.976364858908811
7.1827531272993745,-5.980771190961758
7.186761135307382,-5.985177554539934
7.190769143315389,-5.989583950158765
7.194777151323397,-5.993990378342096
7.198785159331404,-5.998396839622336
7.202793167339411,-6.002803334540593
7.206801175347419,-6.007209863646812
7.210809183355426,-6.011616427499931
7.214817191363434,-6.016023026668011
7.218825199371441,-6.020429661728402
7.222833207379448,-6.024836333267883
7.226841215387456,-6.029243041882821
7.230849223395463,-6.033649788179327
7.2348572314034705,-6.03805657277341
7.238865239411485,-6.042463396291148
7.242873247419492,-6.046870259368842
7.2468812554275,-6.051277162653191
7.250889263435507,-6.055684106801459
7.2548972714435145,-6.060091092481639
7.258905279451522,-6.064498120372645
7.262913287459529,-6.068905191164475
7.266921295467537,-6.0733123055583995
7.270929303475544,-6.077719464267144
7.274937311483551,-6.082126668015072
7.278945319491559,-6.0865339175383815
7.282953327499566,-6.090941213585292
7.2869613355075735,-6.095348556916243
7.290969343515581,-6.099755948304097
7.294977351523588,-6.104163388534329
7.298985359531603,-6.108570878405251
7.30299336753961,-6.112978418728207
7.3070013755476175,-6.117386010327791
7.311009383555625,-6.12179365404206
7.315017391563632,-6.126201350722758
7.31902539957164,-6.130609101235535
7.323033407579647,-6.135016906460177
7.327041415587654,-6.139424767290831
7.331049423595662,-6.143832684636247
7.335057431603669,-6.148240659420005
7.339065439611677,-6.15264869258077
7.343073447619684,-6.157056785072525
7.347081455627691,-6.16146493786483
7.351089463635699,-6.165873151943072
7.355097471643713,-6.17028142830872
7.359105479651721,-6.174689767979593
7.363113487659728,-6.1790981719901215
7.367121495667742,-6.183506641391621
7.37112950367575,-6.187915177252561
7.375137511683757,-6.192323780658855
7.379145519691765,-6.196732452714135
7.383153527699772,-6.201141194540043
7.387161535707779,-6.2055500072765275
7.391169543715787,-6.209958892082135
7.395177551723794,-6.214367850134317
7.3991855597318015,-6.218776882629739
7.403193567739809,-6.2231859907845894
7.407201575747816,-6.227595175834898
7.411209583755824,-6.232004439036863
7.415217591763831,-6.236413781667171
7.4192255997718455,-6.240823205023337
7.423233607779853,-6.245232710424044
7.42724161578786,-6.249642299209481
7.431249623795868,-6.254051972741698
7.435257631803875,-6.25846173240496
7.439265639811882,-6.2628715796061085
7.44327364781989,-6.267281515774925
7.447281655827897,-6.271691542364511
7.4512896638359045,-6.276101660851659
7.455297671843912,-6.280511872737246
7.459305679851919,-6.2849221795466175
7.463313687859927,-6.2893325828299895
7.467321695867934,-6.293743084162851
7.471329703875941,-6.2981536851463735
7.475337711883956,-6.302564387407833
7.479345719891963,-6.306975192601027
7.483353727899971,-6.3113861024067095
7.487361735907978,-6.315797118533032
7.491369743915985,-6.320208242715976
7.495377751923993,-6.324619476719821
7.499385759932,-6.329030822337593
7.503393767940008,-6.333442281391535
7.507401775948015,-6.337853855733577
7.511409783956022,-6.342265547245827
7.51541779196403,-6.346677357841049
7.519425799972037,-6.351089289463168
7.5234338079800445,-6.355501344087775
7.527441815988052,-6.3599135237226365
7.531449823996066,-6.364325830408218
7.535457832004074,-6.368738266218216
7.539465840012081,-6.373150833260096
7.5434738480200885,-6.37756353367564
7.547481856028096,-6.381976369641499
7.551489864036103,-6.386389343369763
7.555497872044111,-6.390802457108532
7.559505880052118,-6.395215713142501
7.563513888060125,-6.399629113793551
7.56752189606814,-6.404042661421355
7.571529904076147,-6.40845635842398
7.575537912084155,-6.412870207238524
7.579545920092162,-6.417284210341733
7.583553928100169,-6.421698370250651
7.587561936108177,-6.426112689523269
7.591569944116184,-6.4305271707591904
7.595577952124199,-6.434941816600297
7.599585960132206,-6.43935662973144
7.603593968140213,-6.443771612881133
