Wavelength,Extinction
1192.9439996115,4.07477268767734
1203.35964682239,4.06398411250877
1219.31154374675,4.02390124866281
1234.63782316377,3.98801631486378
1250.5523859893,3.9582424970573
1266.77168985431,3.92477995497738
1283.41724141805,3.89197905085087
1303.40996022757,3.84267475860082
1318.99406568117,3.8107715125155
1339.69382297009,3.76690845242126
1356.66116279393,3.72344657003835
1378.24704140939,3.68347987063146
1399.61438082975,3.63723446577093
1419.89714963199,3.5996154531822
1443.40619542408,3.55858582788216
1464.14300152552,3.52527174552178
1488.06457885065,3.48442244618498
1512.09476049957,3.44452030408165
1535.93564630478,3.41041459413574
1561.45709108198,3.35900788760778
1587.84100675341,3.30807424893129
1615.13186421407,3.24941383534723
1643.37724518206,3.19828308506594
1672.62811905008,3.13627177420054
1703.1549836329,3.0686075720642
1736.20887956001,3.0084903148554
1766.980895543,2.95881613864453
1798.86338003746,2.9059656743635
1836.80443436777,2.85595924123232
1869.45401454065,2.82204040360524
1910.68999112895,2.78324401397872
1951.57293634646,2.72839004449595
1991.68204547779,2.67110065162961
2031.38119863506,2.63372962647463
2079.84436846583,2.59797852480048
2126.91867216056,2.55801608150006
2176.17324218914,2.52755576817392
2227.76313934419,2.47894399456294
2281.85848538614,2.42848342373794
2341.45081925098,2.35902863758516
2397.09692274921,2.29868561463007
2461.14576624669,2.23856421817467
2527.33734402259,2.18388423879256
2597.18771827114,2.12657027993581
2671.00887636731,2.07620556366588
2749.14931448302,2.01623107271659
2831.99953885617,1.96014625076837
2919.99859270921,1.90661073890872
3013.64183906247,1.85141948956887
3113.49029071582,1.80119545266961
3220.18185852192,1.75002655759846
3334.44499442414,1.69643450386582
3457.11534596348,1.64403033952506
3594.35632800986,1.58643684716684
3731.68396832402,1.53179725445224
3885.99955178782,1.4743361738162
4060.45263068541,1.41148456549377
4233.47950136914,1.35865509005915
4418.66864094443,1.31593084566981
4650.94719180257,1.25372646590089
4886.73064478341,1.20127883876802
